Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,Cluster,Segment_Name
63,29,7685,Two year,Credit Card,Yes,1,0,2,Young Professionals
43,103,2856,One year,Electronic Check,No,1,0,0,Premium Spenders
40,108,2650,One year,Electronic Check,No,1,0,0,Premium Spenders
41,177,4075,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
21,126,7735,One year,Credit Card,Yes,0,0,1,Budget Conscious
3,188,2422,Two year,Credit Card,No,1,0,2,Young Professionals
42,122,1294,Two year,Bank Transfer,No,0,0,2,Young Professionals
18,29,7469,Month-to-month,Electronic Check,Yes,0,0,0,Premium Spenders
55,193,4344,Two year,Bank Transfer,No,1,0,2,Young Professionals
21,140,3171,One year,Electronic Check,No,1,0,0,Premium Spenders
20,150,1780,Month-to-month,Electronic Check,Yes,0,0,0,Premium Spenders
15,40,510,Month-to-month,Bank Transfer,No,0,0,0,Premium Spenders
42,172,1168,Month-to-month,Bank Transfer,No,1,0,0,Premium Spenders
10,143,3353,Two year,Electronic Check,No,1,1,2,Young Professionals
39,84,7566,One year,Electronic Check,No,1,0,0,Premium Spenders
66,170,1059,Month-to-month,Electronic Check,No,1,0,0,Premium Spenders
50,130,1087,One year,Electronic Check,Yes,1,0,0,Premium Spenders
44,78,6369,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
7,39,6651,One year,Electronic Check,Yes,1,0,0,Premium Spenders
3,115,5547,Two year,Bank Transfer,No,0,1,2,Young Professionals
21,75,7026,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
3,59,7111,Month-to-month,Credit Card,Yes,1,1,1,Budget Conscious
18,56,7925,One year,Electronic Check,No,0,0,0,Premium Spenders
48,152,4042,One year,Electronic Check,Yes,1,0,0,Premium Spenders
32,24,2939,Two year,Electronic Check,Yes,1,0,2,Young Professionals
41,88,3461,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
55,87,3353,Two year,Credit Card,No,1,0,2,Young Professionals
15,102,1746,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
31,111,2539,Month-to-month,Credit Card,No,0,0,1,Budget Conscious
33,160,2315,One year,Bank Transfer,No,0,0,0,Premium Spenders
70,164,5320,One year,Credit Card,No,0,0,1,Budget Conscious
14,187,2225,Two year,Electronic Check,Yes,0,0,2,Young Professionals
35,98,4023,Two year,Bank Transfer,Yes,0,0,2,Young Professionals
56,83,562,Month-to-month,Bank Transfer,Yes,0,0,0,Premium Spenders
62,75,2451,One year,Credit Card,No,0,0,1,Budget Conscious
30,107,6906,One year,Credit Card,Yes,1,0,1,Budget Conscious
15,147,2687,One year,Electronic Check,No,0,0,0,Premium Spenders
41,114,2419,Two year,Bank Transfer,No,1,0,2,Young Professionals
27,50,2751,Two year,Electronic Check,Yes,1,0,2,Young Professionals
4,177,950,Month-to-month,Credit Card,Yes,0,1,1,Budget Conscious
62,183,7208,Two year,Electronic Check,Yes,1,0,2,Young Professionals
31,62,5887,One year,Bank Transfer,No,1,0,0,Premium Spenders
13,137,7128,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
20,179,2692,Month-to-month,Bank Transfer,Yes,1,0,0,Premium Spenders
8,174,3979,Two year,Credit Card,Yes,0,1,2,Young Professionals
2,125,7858,Month-to-month,Electronic Check,No,1,1,0,Premium Spenders
3,79,891,Month-to-month,Credit Card,No,1,1,1,Budget Conscious
48,92,5908,Two year,Bank Transfer,Yes,0,0,2,Young Professionals
15,28,6569,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
64,101,5706,Month-to-month,Bank Transfer,Yes,1,0,0,Premium Spenders
52,152,4318,Two year,Bank Transfer,Yes,0,0,2,Young Professionals
10,134,4476,Month-to-month,Electronic Check,No,0,1,0,Premium Spenders
30,188,4095,Two year,Electronic Check,Yes,0,0,2,Young Professionals
27,67,3567,Month-to-month,Credit Card,Yes,1,0,1,Budget Conscious
2,184,5021,One year,Electronic Check,Yes,1,1,0,Premium Spenders
46,112,6817,Two year,Electronic Check,No,0,0,2,Young Professionals
11,115,1713,Two year,Bank Transfer,Yes,1,1,2,Young Professionals
64,167,3677,Month-to-month,Bank Transfer,No,0,0,0,Premium Spenders
65,47,5540,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
21,173,7651,Two year,Bank Transfer,Yes,0,0,2,Young Professionals
29,42,2058,One year,Credit Card,No,1,0,1,Budget Conscious
6,133,7448,One year,Credit Card,No,0,1,1,Budget Conscious
34,24,2004,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
20,114,1250,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
42,132,3139,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
5,105,5965,One year,Credit Card,No,0,1,1,Budget Conscious
45,139,7654,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
21,156,6366,Two year,Electronic Check,No,0,0,2,Young Professionals
37,158,3355,Two year,Electronic Check,No,0,0,2,Young Professionals
68,40,5920,Month-to-month,Bank Transfer,Yes,1,0,0,Premium Spenders
26,148,4601,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
26,78,5632,Two year,Electronic Check,Yes,1,0,2,Young Professionals
1,86,7217,Two year,Bank Transfer,Yes,0,0,2,Young Professionals
47,182,3250,One year,Electronic Check,No,1,0,0,Premium Spenders
30,154,4096,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
51,78,984,Month-to-month,Electronic Check,Yes,1,0,0,Premium Spenders
13,90,347,One year,Electronic Check,Yes,0,0,0,Premium Spenders
64,185,3916,One year,Credit Card,Yes,1,0,1,Budget Conscious
60,171,220,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
69,48,3419,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
40,105,791,One year,Credit Card,Yes,0,0,1,Budget Conscious
23,110,6723,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
42,80,5832,One year,Electronic Check,No,1,0,0,Premium Spenders
13,99,2938,Month-to-month,Credit Card,No,0,0,1,Budget Conscious
24,84,6882,One year,Credit Card,Yes,0,0,1,Budget Conscious
22,61,5363,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
10,115,3717,One year,Electronic Check,Yes,0,1,0,Premium Spenders
62,160,1811,Month-to-month,Credit Card,Yes,1,0,1,Budget Conscious
5,145,1090,Month-to-month,Credit Card,No,1,1,1,Budget Conscious
20,76,6396,Two year,Credit Card,Yes,1,0,2,Young Professionals
68,67,1797,Two year,Electronic Check,No,1,0,2,Young Professionals
42,50,279,One year,Electronic Check,No,0,0,0,Premium Spenders
3,180,3232,One year,Bank Transfer,No,0,0,0,Premium Spenders
68,193,3285,One year,Credit Card,No,0,0,1,Budget Conscious
52,39,3233,Two year,Credit Card,Yes,1,0,2,Young Professionals
4,135,4742,Month-to-month,Credit Card,No,1,1,1,Budget Conscious
13,64,4297,Month-to-month,Bank Transfer,Yes,1,0,0,Premium Spenders
56,151,735,Two year,Credit Card,Yes,1,0,2,Young Professionals
61,29,2290,One year,Credit Card,Yes,0,0,1,Budget Conscious
47,130,2289,Month-to-month,Bank Transfer,Yes,0,0,0,Premium Spenders
59,93,7342,Month-to-month,Bank Transfer,No,0,0,0,Premium Spenders
47,199,6905,Two year,Electronic Check,Yes,1,0,2,Young Professionals
49,163,3776,One year,Bank Transfer,No,0,0,0,Premium Spenders
31,100,4971,One year,Electronic Check,Yes,0,0,0,Premium Spenders
52,185,7330,Two year,Credit Card,Yes,0,0,2,Young Professionals
46,51,466,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
43,31,7992,Month-to-month,Credit Card,No,0,0,1,Budget Conscious
65,158,3712,One year,Credit Card,No,0,0,1,Budget Conscious
71,138,6231,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
27,121,4317,One year,Bank Transfer,No,0,0,0,Premium Spenders
30,133,3029,Month-to-month,Credit Card,Yes,1,0,1,Budget Conscious
37,152,2750,One year,Credit Card,No,0,0,1,Budget Conscious
37,34,6987,Month-to-month,Electronic Check,No,1,0,0,Premium Spenders
3,63,1535,Two year,Electronic Check,No,0,0,2,Young Professionals
42,143,7310,One year,Electronic Check,Yes,0,0,0,Premium Spenders
50,170,3185,Two year,Electronic Check,No,0,0,2,Young Professionals
50,169,159,One year,Bank Transfer,No,0,0,0,Premium Spenders
29,189,5035,One year,Credit Card,Yes,1,0,1,Budget Conscious
15,55,5421,Two year,Credit Card,No,0,0,2,Young Professionals
69,40,3396,Month-to-month,Credit Card,Yes,0,0,1,Budget Conscious
69,94,5765,Month-to-month,Electronic Check,Yes,0,0,0,Premium Spenders
57,32,4351,One year,Bank Transfer,No,0,0,0,Premium Spenders
70,171,4801,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
46,199,4023,Month-to-month,Electronic Check,Yes,0,0,0,Premium Spenders
65,82,7742,Two year,Credit Card,Yes,0,0,2,Young Professionals
65,113,2956,Month-to-month,Credit Card,Yes,0,0,1,Budget Conscious
51,160,4278,Two year,Credit Card,No,1,0,2,Young Professionals
44,59,1893,Month-to-month,Credit Card,Yes,0,0,1,Budget Conscious
7,142,3099,Month-to-month,Bank Transfer,No,1,1,0,Premium Spenders
59,29,1393,One year,Electronic Check,Yes,0,0,0,Premium Spenders
8,102,2161,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
10,152,5250,Month-to-month,Credit Card,Yes,1,1,1,Budget Conscious
67,182,6193,Two year,Bank Transfer,Yes,0,0,2,Young Professionals
45,177,3091,One year,Bank Transfer,No,0,0,0,Premium Spenders
33,198,2226,Two year,Bank Transfer,Yes,0,0,2,Young Professionals
57,118,5412,Two year,Credit Card,No,1,0,2,Young Professionals
67,37,1247,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
31,70,1256,Month-to-month,Credit Card,No,0,0,1,Budget Conscious
19,43,6118,One year,Electronic Check,Yes,0,0,0,Premium Spenders
40,156,7024,One year,Electronic Check,No,0,0,0,Premium Spenders
24,142,7012,One year,Credit Card,Yes,0,0,1,Budget Conscious
57,123,5830,Month-to-month,Bank Transfer,Yes,0,0,0,Premium Spenders
53,183,4023,Two year,Electronic Check,Yes,1,0,2,Young Professionals
24,32,1635,One year,Bank Transfer,No,1,0,0,Premium Spenders
32,149,5477,Two year,Bank Transfer,No,1,0,2,Young Professionals
33,99,3225,One year,Credit Card,No,1,0,1,Budget Conscious
20,151,2681,One year,Credit Card,No,1,0,1,Budget Conscious
12,52,7459,Two year,Electronic Check,No,0,0,2,Young Professionals
61,24,217,One year,Electronic Check,No,1,0,0,Premium Spenders
65,94,7183,One year,Bank Transfer,No,1,0,0,Premium Spenders
13,115,6305,Two year,Credit Card,No,1,0,2,Young Professionals
61,51,810,One year,Bank Transfer,No,0,0,0,Premium Spenders
33,151,6705,Month-to-month,Bank Transfer,No,1,0,0,Premium Spenders
21,138,6404,Two year,Credit Card,Yes,1,0,2,Young Professionals
56,108,6378,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
69,121,7669,One year,Electronic Check,Yes,0,0,0,Premium Spenders
16,196,7704,Two year,Electronic Check,No,0,0,2,Young Professionals
28,33,1099,Two year,Credit Card,No,1,0,2,Young Professionals
53,123,4561,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
23,104,2991,Two year,Electronic Check,No,0,0,2,Young Professionals
15,60,3032,Month-to-month,Bank Transfer,No,1,0,0,Premium Spenders
43,130,6856,One year,Bank Transfer,No,0,0,0,Premium Spenders
60,48,4747,One year,Bank Transfer,No,1,0,0,Premium Spenders
48,79,3083,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
58,90,3841,Two year,Electronic Check,No,1,0,2,Young Professionals
24,48,1639,Month-to-month,Electronic Check,Yes,0,0,0,Premium Spenders
9,138,515,Two year,Credit Card,No,0,1,2,Young Professionals
55,71,1965,Two year,Credit Card,Yes,1,0,2,Young Professionals
26,182,3882,Month-to-month,Electronic Check,Yes,0,0,0,Premium Spenders
31,88,4230,Two year,Electronic Check,No,1,0,2,Young Professionals
29,178,7961,Two year,Electronic Check,Yes,0,0,2,Young Professionals
65,30,6769,Month-to-month,Credit Card,No,0,0,1,Budget Conscious
50,120,1839,Two year,Credit Card,Yes,0,0,2,Young Professionals
54,191,6674,Two year,Credit Card,No,1,0,2,Young Professionals
31,85,1935,One year,Electronic Check,Yes,0,0,0,Premium Spenders
49,41,7108,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
44,176,4069,Two year,Bank Transfer,No,0,0,2,Young Professionals
1,39,2429,Month-to-month,Credit Card,Yes,1,1,1,Budget Conscious
71,156,812,One year,Credit Card,No,0,0,1,Budget Conscious
34,172,1619,Two year,Electronic Check,Yes,1,0,2,Young Professionals
6,115,1677,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
29,92,1792,Month-to-month,Credit Card,Yes,0,0,1,Budget Conscious
69,177,2153,Two year,Bank Transfer,No,0,0,2,Young Professionals
19,63,1186,Two year,Electronic Check,No,1,0,2,Young Professionals
43,81,7187,Two year,Credit Card,No,1,0,2,Young Professionals
8,160,7182,Month-to-month,Bank Transfer,No,1,1,0,Premium Spenders
43,85,6192,One year,Credit Card,Yes,1,0,1,Budget Conscious
29,64,6131,One year,Electronic Check,Yes,0,0,0,Premium Spenders
67,142,1008,Month-to-month,Electronic Check,No,1,0,0,Premium Spenders
66,196,2989,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
49,94,4521,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
58,174,1493,Two year,Credit Card,No,0,0,2,Young Professionals
3,72,4282,One year,Credit Card,Yes,0,0,1,Budget Conscious
66,128,7087,One year,Electronic Check,No,1,0,0,Premium Spenders
57,43,6209,Two year,Bank Transfer,No,1,0,2,Young Professionals
17,25,7759,Two year,Credit Card,No,1,0,2,Young Professionals
18,158,7475,Two year,Electronic Check,Yes,0,0,2,Young Professionals
2,56,7493,Month-to-month,Electronic Check,No,1,1,0,Premium Spenders
13,94,261,Month-to-month,Bank Transfer,Yes,0,0,0,Premium Spenders
26,171,6538,Two year,Credit Card,Yes,0,0,2,Young Professionals
48,80,6186,Month-to-month,Electronic Check,Yes,1,0,0,Premium Spenders
11,60,627,One year,Electronic Check,No,0,0,0,Premium Spenders
42,83,1173,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
22,58,6472,One year,Electronic Check,No,1,0,0,Premium Spenders
57,123,5518,One year,Credit Card,Yes,1,0,1,Budget Conscious
63,177,5573,One year,Credit Card,Yes,0,0,1,Budget Conscious
65,59,6420,Two year,Credit Card,No,0,0,2,Young Professionals
13,140,727,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
70,128,5423,Month-to-month,Bank Transfer,Yes,0,0,0,Premium Spenders
6,59,6657,Two year,Credit Card,No,0,0,2,Young Professionals
66,44,1995,One year,Electronic Check,Yes,0,0,0,Premium Spenders
15,163,4659,Month-to-month,Credit Card,No,0,0,1,Budget Conscious
66,136,7139,Month-to-month,Bank Transfer,No,0,0,0,Premium Spenders
47,193,5219,Two year,Credit Card,No,1,0,2,Young Professionals
26,93,3151,One year,Electronic Check,Yes,0,0,0,Premium Spenders
14,176,5655,One year,Credit Card,Yes,1,0,1,Budget Conscious
65,84,1193,Month-to-month,Electronic Check,No,1,0,0,Premium Spenders
58,128,7204,Month-to-month,Bank Transfer,Yes,0,0,0,Premium Spenders
21,179,840,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
61,61,7474,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
11,88,7410,One year,Credit Card,No,0,0,1,Budget Conscious
20,107,2288,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
55,169,1513,Two year,Electronic Check,No,0,0,2,Young Professionals
9,149,1431,Month-to-month,Electronic Check,No,0,1,0,Premium Spenders
41,98,7631,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
58,72,6062,Month-to-month,Bank Transfer,No,0,0,0,Premium Spenders
61,177,5838,Month-to-month,Credit Card,Yes,1,0,1,Budget Conscious
32,100,7901,One year,Credit Card,Yes,0,0,1,Budget Conscious
46,192,169,Month-to-month,Bank Transfer,Yes,0,0,0,Premium Spenders
28,185,4320,One year,Credit Card,No,0,0,1,Budget Conscious
39,166,805,One year,Credit Card,No,1,0,1,Budget Conscious
61,99,6541,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
38,63,5531,Month-to-month,Electronic Check,No,1,0,0,Premium Spenders
34,90,7911,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
43,63,4351,Two year,Bank Transfer,Yes,0,0,2,Young Professionals
25,156,3381,One year,Bank Transfer,No,1,0,0,Premium Spenders
52,60,2095,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
18,147,2845,Month-to-month,Bank Transfer,Yes,0,0,0,Premium Spenders
9,55,4064,Month-to-month,Bank Transfer,Yes,0,1,0,Premium Spenders
57,80,177,One year,Credit Card,No,0,0,1,Budget Conscious
45,125,5533,One year,Credit Card,No,0,0,1,Budget Conscious
51,98,6795,Two year,Credit Card,Yes,1,0,2,Young Professionals
57,115,7867,Month-to-month,Electronic Check,Yes,0,0,0,Premium Spenders
29,90,2039,One year,Credit Card,No,0,0,1,Budget Conscious
50,151,3525,One year,Electronic Check,Yes,0,0,0,Premium Spenders
25,180,6676,Two year,Electronic Check,No,1,0,2,Young Professionals
55,84,4026,Month-to-month,Credit Card,Yes,0,0,1,Budget Conscious
31,40,7644,One year,Credit Card,No,0,0,1,Budget Conscious
11,185,7387,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
43,70,1690,Month-to-month,Bank Transfer,No,1,0,0,Premium Spenders
18,188,2878,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
9,24,3090,Two year,Electronic Check,No,1,0,2,Young Professionals
6,161,458,Month-to-month,Electronic Check,Yes,0,1,0,Premium Spenders
28,95,6110,One year,Electronic Check,No,1,0,0,Premium Spenders
4,20,5182,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
68,46,7768,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
58,142,1452,One year,Credit Card,Yes,1,0,1,Budget Conscious
67,67,1052,Month-to-month,Electronic Check,Yes,1,0,0,Premium Spenders
32,80,2998,Two year,Electronic Check,Yes,1,0,2,Young Professionals
65,29,3138,One year,Bank Transfer,No,1,0,0,Premium Spenders
10,89,6631,Month-to-month,Electronic Check,No,0,1,0,Premium Spenders
65,178,4809,One year,Electronic Check,No,0,0,0,Premium Spenders
3,129,7607,Month-to-month,Bank Transfer,No,1,1,0,Premium Spenders
32,138,714,One year,Electronic Check,No,0,0,0,Premium Spenders
54,181,6354,Month-to-month,Electronic Check,Yes,0,0,0,Premium Spenders
57,187,774,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
34,38,7888,Month-to-month,Credit Card,Yes,1,0,1,Budget Conscious
6,137,4804,One year,Electronic Check,Yes,0,1,0,Premium Spenders
7,54,1631,One year,Credit Card,Yes,1,0,1,Budget Conscious
39,170,4762,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
44,68,1931,Two year,Bank Transfer,No,1,0,2,Young Professionals
47,46,7361,One year,Credit Card,Yes,1,0,1,Budget Conscious
66,184,1534,Month-to-month,Electronic Check,Yes,0,0,0,Premium Spenders
46,119,656,Month-to-month,Bank Transfer,No,1,0,0,Premium Spenders
49,168,4471,Two year,Bank Transfer,Yes,1,0,2,Young Professionals
45,118,4416,Two year,Bank Transfer,No,0,0,2,Young Professionals
5,134,3651,One year,Credit Card,Yes,1,1,1,Budget Conscious
30,138,1585,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
48,53,7371,Two year,Credit Card,No,0,0,2,Young Professionals
17,24,1389,One year,Bank Transfer,No,0,0,0,Premium Spenders
17,124,1196,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
33,101,2979,Two year,Credit Card,Yes,0,0,2,Young Professionals
10,81,5158,One year,Electronic Check,Yes,1,0,0,Premium Spenders
37,58,5083,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
32,148,2526,Two year,Electronic Check,No,1,0,2,Young Professionals
20,49,5058,One year,Electronic Check,No,1,0,0,Premium Spenders
14,27,2388,Two year,Bank Transfer,Yes,0,0,2,Young Professionals
57,126,1514,Month-to-month,Bank Transfer,Yes,0,0,0,Premium Spenders
40,130,5612,One year,Electronic Check,Yes,1,0,0,Premium Spenders
29,20,4628,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
33,196,2107,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
36,192,3483,One year,Electronic Check,No,0,0,0,Premium Spenders
31,181,4712,Two year,Bank Transfer,No,1,0,2,Young Professionals
41,76,4187,Two year,Bank Transfer,No,1,0,2,Young Professionals
21,180,3061,One year,Bank Transfer,No,0,0,0,Premium Spenders
68,67,2144,Two year,Credit Card,Yes,1,0,2,Young Professionals
67,64,5558,One year,Credit Card,Yes,0,0,1,Budget Conscious
24,185,1550,Two year,Electronic Check,No,1,0,2,Young Professionals
47,187,4343,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
1,188,7165,Month-to-month,Bank Transfer,No,0,1,0,Premium Spenders
25,90,1649,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
70,168,2375,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
42,156,2302,Two year,Electronic Check,No,0,0,2,Young Professionals
42,126,5532,Month-to-month,Credit Card,No,0,0,1,Budget Conscious
4,105,2534,Month-to-month,Electronic Check,Yes,0,1,0,Premium Spenders
3,79,1299,One year,Credit Card,No,1,0,1,Budget Conscious
56,147,253,Month-to-month,Credit Card,Yes,0,0,1,Budget Conscious
6,63,2156,Month-to-month,Credit Card,Yes,1,1,1,Budget Conscious
22,65,1947,Month-to-month,Bank Transfer,Yes,1,0,0,Premium Spenders
